domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.stern.de,-0.11292410714285714,0.19883447987076466,0.04151785714285715,0.11859010726301902,64.0
www.zeit.de,-0.004200542005420057,0.23655024682148149,0.015989159891598916,0.06939103637313013,41.0
www.welt.de,-0.04152882205513784,0.17009683182887453,0.0658312447786132,0.10777606139660897,19.0
www.tagesspiegel.de,-0.008826530612244905,0.21605479485285456,0.0,0.0,14.0
www.bild.de,-0.013134920634920638,0.15920585465747936,0.04305555555555555,0.07636248395795514,12.0
www.faz.net,-0.1664285714285714,0.21739286116304757,0.0,0.0,7.0
www.tagesschau.de,-0.08353174603174603,0.11622466482433862,0.0625,0.15309310892394862,6.0
www.n-tv.de,-0.12261904761904763,0.26504502676555153,0.0,0.0,6.0
www.nzz.ch,-0.01615259740259742,0.4730442879252156,0.022727272727272728,0.045454545454545456,4.0
www.focus.de,-0.10555555555555556,0.10046189622236179,0.08333333333333333,0.08333333333333334,3.0
www.sueddeutsche.de,0.0,0.0,0.10317460317460318,0.09014140231429005,3.0
www.telepolis.de,0.0,0.0,0.0,0.0,2.0
www.freitag.de,0.0,1.0,0.0,1.0,1.0
www.gamestar.de,0.0,1.0,0.0,1.0,1.0
www.mobiflip.de,0.0,1.0,0.0,1.0,1.0
orf.at,0.0,1.0,0.0,1.0,1.0
www.rostock-heute.de,0.0,1.0,0.0,1.0,1.0
www.spektrum.de,0.0,1.0,0.0,1.0,1.0
www.diepresse.com,0.0,1.0,0.0,1.0,1.0
www.basicthinking.de,0.0,1.0,0.0,1.0,1.0
versicherungswirtschaft-heute.de,0.0,1.0,0.0,1.0,1.0
www.teltarif.de,0.0,1.0,0.0,1.0,1.0
taz.de,0.0,1.0,0.0,1.0,1.0
kaernten.orf.at,0.0,1.0,0.0,1.0,1.0
