,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Sturmflut,Sturmflut,LOC,-0.16393443,0.03642987,de,54.90000000,,-1,,,,,,
Deutschland,Deutschland,LOC,-0.19252874,0.02873563,de,34.80000000,4011882-4,2921044,X,51.50000000,10.50000000,EUROPE,Germany,WCE
Nordseeküste,Nordseeküste,LOC,-0.07936508,0.00000000,de,33.60000000,,-1,,,,,,
Hamburg,Hamburg,LOC,-0.22038567,0.06198347,de,24.20000000,4023118-5,2911297,X,53.58332900,10.00000000,EUROPE,Germany,NEU
Elbe,Elbe,LOC,-0.08944954,0.18348624,de,21.80000000,,-1,,,,,,
Nordsee,Nordsee,LOC,-0.35467980,0.09852217,de,20.30000000,,-1,,,,,,
Ostsee,Ostsee,LOC,-0.11392405,0.00000000,de,15.80000000,,-1,,,,,,
Deutschlands,Deutschlands,LOC,-0.16091954,0.06896552,de,14.50000000,,-1,,,,,,
Flensburg,Flensburg,LOC,-0.12727273,0.00000000,de,11.00000000,4017506-6,2926271,X,54.78416600,9.43944400,EUROPE,Germany,NEU
Norwegen,Norwegen,LOC,-0.06363636,0.00000000,de,11.00000000,4042640-3,3144096,X,62.00000000,10.00000000,EUROPE,Norway,NEU
Niedersachsen,Niedersachsen,LOC,0.52380952,0.00000000,de,10.50000000,4042226-4,2862926,X,52.00000000,10.00000000,EUROPE,Germany,WCE
Küste,Küste,LOC,0.07142857,0.40816327,de,9.80000000,,-1,,,,,,
Norderney,Norderney,LOC,-0.07865169,0.11235955,de,8.90000000,4042519-8,2862041,X,53.70805500,7.15805500,EUROPE,Germany,NEU
…,…,LOC,0.00000000,0.00000000,de,8.10000000,,-1,,,,,,
Wellington,Wellington,LOC,-0.22368421,0.00000000,de,7.60000000,4119042-7,2179537,X,-41.28638800,174.77555500,OCEANIA,New Zealand,NZ
Weser,Weser,LOC,-0.26428571,0.00000000,de,7.00000000,,-1,,,,,,
Europas,Europas,LOC,-0.04285714,0.00000000,de,7.00000000,,-1,,,,,,
Ems,Ems,LOC,-0.26428571,0.00000000,de,7.00000000,4014614-5,2953507,X,50.33527700,7.71361100,EUROPE,Germany,WCE
Niederlanden,Niederlanden,LOC,0.00000000,0.00000000,de,7.00000000,,-1,,,,,,
Schleswig-Holstein,Schleswig-Holstein,LOC,0.05314010,0.14492754,de,6.90000000,4052692-6,2838632,X,54.00000000,10.50000000,EUROPE,Germany,NEU
Neuseelands,Neuseelands,LOC,-0.10447761,0.00000000,de,6.70000000,,-1,,,,,,
Nord-,Nord-,LOC,0.11666667,0.00000000,de,6.00000000,,-1,,,,,,
Ostseeküste,Ostseeküste,LOC,-0.35000000,0.00000000,de,6.00000000,,-1,,,,,,
Orkanböen,Orkanböen,LOC,-0.33333333,0.00000000,de,6.00000000,,-1,,,,,,
Sturmböen,Sturmböen,LOC,-0.05084746,0.00000000,de,5.90000000,,-1,,,,,,
Bahamas,Bahamas,LOC,-1.74545455,0.00000000,de,5.50000000,4069081-7,3572887,X,25.04082000,-77.37121900,NORTH-AMERICA,Bahamas,ENA
