,phrase,label,sentiment,subjectivity,language,count
BSH,BSH,ORG,-0.47727272727272724,0.0,de,13.200000000000003
Bundesamt für Seeschifffahrt und Hydrographie,Bundesamt für Seeschifffahrt und Hydrographie,ORG,0.0,0.0,de,9.8
DWD,DWD,ORG,0.0,0.0,de,5.6000000000000005
Küstenschutz,Küstenschutz,ORG,0.574074074074074,0.37037037037037035,de,5.4
Freitag + Der Newsblog,Freitag + Der Newsblog,ORG,0.0,0.0,de,2.8
E…,E…,ORG,0.0,0.0,de,2.0
Deutschen Wetterdienstes,Deutschen Wetterdienstes,ORG,-0.35,0.0,de,2.0
MeteoR…,MeteoR…,ORG,0.0,0.0,de,2.0
lno,lno,ORG,-0.35,0.0,de,2.0
Bundesamt…,Bundesamt…,ORG,0.0,0.0,de,1.9
"Link
","Link
",ORG,-1.763157894736842,0.0,de,1.9
Hallig Hooge,Hallig Hooge,ORG,0.5384615384615384,0.0,de,1.3
GVV,GVV,ORG,1.7499999999999996,0.0,de,1.2000000000000002
UN,UN,ORG,0.0,0.0,de,1.0
ei…,ei…,ORG,0.15000000000000002,0.0,de,1.0
Katastropheng…,Katastropheng…,ORG,0.0,0.0,de,1.0
NZZ,NZZ,ORG,0.0,0.0,de,1.0
BASIC thinking,BASIC thinking,ORG,0.7,0.0,de,1.0
los!,los!,ORG,0.0,0.0,de,1.0
mögli…,mögli…,ORG,0.0,0.0,de,1.0
D…,D…,ORG,0.0,0.0,de,1.0
We…,We…,ORG,0.0,0.0,de,1.0
GDV,GDV,ORG,0.0,0.0,de,1.0
Sturmflut-Gefahr!,Sturmflut-Gefahr!,ORG,0.0,0.0,de,1.0
Wilhelmshaven/Husum,Wilhelmshaven/Husum,ORG,0.0,0.0,de,1.0
Bundesamt für Seeschifffahrt Kopiere,Bundesamt für Seeschifffahrt Kopiere,ORG,-0.7,0.0,de,1.0
Schneechaos!,Schneechaos!,ORG,0.0,0.0,de,1.0
Deutschland,Deutschland,ORG,-1.0,0.0,de,1.0
Lagezentr…,Lagezentr…,ORG,0.0,0.0,de,1.0
Das Bundesamt für Seeschifffahrt und Hydrographie,Das Bundesamt für Seeschifffahrt und Hydrographie,ORG,-0.7,0.0,de,1.0
Deutsche Bahn,Deutsche Bahn,ORG,0.7,0.0,de,1.0
Deutsche…,Deutsche…,ORG,0.0,0.0,de,1.0
Schulen ++ Minus 28 Grad,Schulen ++ Minus 28 Grad,ORG,0.0,0.0,de,1.0
Schulen ++ Warnung,Schulen ++ Warnung,ORG,0.0,0.0,de,1.0
Ostse…,Ostse…,ORG,0.0,0.0,de,1.0
Filterblasen!,Filterblasen!,ORG,0.0,0.0,de,1.0
200-Milliarden-Dollar-Marke,200-Milliarden-Dollar-Marke,ORG,-0.85,0.0,de,1.0
z…,z…,ORG,0.0,0.0,de,1.0
no…,no…,ORG,0.0,0.0,de,1.0
Grüne,Grüne,ORG,0.0,0.0,de,1.0
deutsc…,deutsc…,ORG,0.0,0.0,de,1.0
Nordsee…,Nordsee…,ORG,0.0,0.0,de,1.0
Bundesamts für Seeschifffahrt und Hydrographie,Bundesamts für Seeschifffahrt und Hydrographie,ORG,0.0,0.0,de,1.0
OlafLeichte Sturmflut,OlafLeichte Sturmflut,ORG,0.0,0.0,de,1.0
Bundesamt für Seeschifffah…,Bundesamt für Seeschifffah…,ORG,0.0,0.0,de,1.0
Hydrograp…,Hydrograp…,ORG,0.0,0.0,de,1.0
Bundesamts für Seeschifffahrt,Bundesamts für Seeschifffahrt,ORG,0.0,0.0,de,1.0
Chaos,Chaos,ORG,1.4,0.0,de,1.0
BSH…,BSH…,ORG,0.0,0.0,de,1.0
Hochwasser!,Hochwasser!,ORG,0.0,0.0,de,1.0
angekündig…,angekündig…,ORG,0.0,0.0,de,1.0
Ostsee-Sturmflut,Ostsee-Sturmflut,ORG,-0.7,0.0,de,1.0
Schleswig-Holsteinischen Umweltministers,Schleswig-Holsteinischen Umweltministers,ORG,0.0,0.0,de,1.0
niedersäc…,niedersäc…,ORG,0.0,0.0,de,1.0
Bundesamt für Seeschiffahrt,Bundesamt für Seeschiffahrt,ORG,-0.7,0.0,de,1.0
kom…,kom…,ORG,0.0,0.0,de,1.0
Deutsche Wetterdienst,Deutsche Wetterdienst,ORG,0.0,0.0,de,1.0
Bundesamt für Seeschifffahrt und Hydrografie,Bundesamt für Seeschifffahrt und Hydrografie,ORG,0.0,0.0,de,1.0
erwar…,erwar…,ORG,0.7,0.0,de,1.0
Mädchen …,Mädchen …,ORG,0.0,0.0,de,1.0
Katast…,Katast…,ORG,0.7,0.0,de,1.0
e…,e…,ORG,0.0,0.0,de,1.0
deutschen Nord- und Ostseeküsten,deutschen Nord- und Ostseeküsten,ORG,0.7,0.0,de,1.0
Fussballklubs,Fussballklubs,ORG,0.0,0.0,de,1.0
FC Biel,FC Biel,ORG,1.0,0.0,de,1.0
Texas-Flut,Texas-Flut,ORG,0.0,0.0,de,1.0
US-Wetterdienst,US-Wetterdienst,ORG,0.0,0.0,de,1.0
Bundestag,Bundestag,ORG,0.0,0.0,de,1.0
SPD,SPD,ORG,0.0,0.0,de,1.0
Reporter…,Reporter…,ORG,0.0,0.0,de,1.0
Fährver…,Fährver…,ORG,0.0,0.0,de,1.0
Hamburg,Hamburg,ORG,0.0,0.0,de,1.0
Nordsee!,Nordsee!,ORG,0.0,0.0,de,1.0
FRS Helgoline,FRS Helgoline,ORG,0.0,0.0,de,1.0
IPCC,IPCC,ORG,0.0,0.0,de,1.0
