keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Sturmflut Ostsee',de,Hazard,#4287f5,#638ed4,1,0.1882347916305627
'Sturmflut Sperrwerk',de,Mitigation,#9e3215,#9e3215,2,0.1704560042514327
'Sturmflut Rettungskräfte',de,Mitigation,#9e3215,#9e3215,1,0.1654674708593806
'Sturmflut',de,Hazard,#4287f5,#638ed4,2,0.1637984525271014
'Sturmflut Fährausfälle',de,Impacts,#a89216,#a89216,1,0.1628595980112357
'Sturmflut Zerstörung',de,Impacts,#a89216,#a89216,1,0.1628437442056778
'Sturmflut Überflutung',de,Impacts,#a89216,#a89216,1,0.1627681911234023
'Sturmflut Tote',de,Impacts,#a89216,#87830f,1,0.1623920633451939
'Sturmflut Fährverbindung',de,Impacts,#a89216,#a89216,1,0.162131862398242
'Sturmflut Küstenschutz',de,Mitigation,#9e3215,#b55035,1,0.1598567940967208
'Sturmflut Nordsee',de,Hazard,#4287f5,#638ed4,1,0.1538479186132044
'Sturmflut Sturmtief',de,Causes,#679e2c,#7db344,1,0.1495412546652568
'Sturmflut Schäden',de,Impacts,#a89216,#87830f,1,0.1493810582101082
'Sturmflut Pegel',de,Hazard,#4287f5,#3b4a63,1,0.1475604279744101
'Sturmflut Hochwasser',de,Impacts,#a89216,#a89216,1,0.1474888625807409
'Sturmflut Starkregen',de,Causes,#679e2c,#477515,1,0.1463426642519609
'Sturmflut Sand',de,Impacts,#a89216,#a89216,1,0.1454933400222147
'Sturmflut Klimawandel',de,Causes,#679e2c,#477515,1,0.144645390981318
'Sturmflut Springflut',de,Causes,#679e2c,#7db344,1,0.1425459939878652
'Sturmflut Wiederaufbau',de,Mitigation,#9e3215,#802d16,1,0.1421122412309573
'Sturmflut Folgen',de,Impacts,#a89216,#a89216,1,0.1416991733448659
'Sturmflut Wellen',de,Impacts,#a89216,#a89216,1,0.1406728678495784
'Sturmflut Verletzte',de,Impacts,#a89216,#87830f,1,0.1392932165860062
'Sturmflut Warnung',de,Mitigation,#9e3215,#802d16,1,0.1350377477875653
'Sturmflut Tief',de,Causes,#679e2c,#7db344,1,0.1291814958121557
'Sturmflut Sturmböen',de,Causes,#679e2c,#61b00c,1,0.1252283749102572
'Sturmflut Einsatzkräfte',de,Mitigation,#9e3215,#d64118,1,0.1248110080971865
'Sturmflut Sandsäcke',de,Mitigation,#9e3215,#b55035,1,0.1242649960106282
'Sturmflut Evakuierung',de,Mitigation,#9e3215,#802d16,1,0.1195581641311119
'Sturmflut Hurrikan',de,Causes,#679e2c,#679e2c,1,0.1194571842287675
'Sturmflut Deiche',de,Mitigation,#9e3215,#802d16,1,0.117512289737628
'Sturmflut Sturmschäden',de,Impacts,#a89216,#a89216,1,0.0995692299953203
